country,year,num,iso_alpha
Netherlands,01-8-2019,5,NLD
Netherlands,01-9-2019,11,NLD
Netherlands,01-10-2019,7,NLD
Netherlands,01-11-2019,5,NLD
Netherlands,01-12-2019,9,NLD
Norway,01-1-2019,1,NOR
Norway,01-2-2019,1,NOR
Norway,01-3-2019,2,NOR
Norway,01-4-2019,1,NOR
Norway,01-5-2019,3,NOR
Norway,01-6-2019,6,NOR
Norway,01-7-2019,2,NOR
Norway,01-8-2019,1,NOR
Norway,01-9-2019,1,NOR
Norway,01-10-2019,3,NOR
Norway,01-11-2019,1,NOR
Norway,01-12-2019,2,NOR
New Zealand,01-1-2019,0,NZL
New Zealand,01-2-2019,2,NZL
New Zealand,01-3-2019,1,NZL
New Zealand,01-4-2019,0,NZL
New Zealand,01-5-2019,3,NZL
New Zealand,01-6-2019,7,NZL
New Zealand,01-7-2019,2,NZL
New Zealand,01-8-2019,1,NZL
New Zealand,01-9-2019,2,NZL
New Zealand,01-10-2019,0,NZL
New Zealand,01-11-2019,1,NZL
New Zealand,01-12-2019,3,NZL
Peru,01-1-2019,1,PER
Peru,01-2-2019,1,PER
Peru,01-3-2019,0,PER
Peru,01-4-2019,1,PER
Peru,01-5-2019,0,PER
Peru,01-6-2019,0,PER
Peru,01-7-2019,0,PER
Peru,01-8-2019,1,PER
Peru,01-9-2019,0,PER
Peru,01-10-2019,0,PER
Peru,01-11-2019,1,PER
Peru,01-12-2019,2,PER
Philippines,01-1-2019,0,PHL
Philippines,01-2-2019,1,PHL
Philippines,01-3-2019,1,PHL
Philippines,01-4-2019,0,PHL
Philippines,01-5-2019,0,PHL
Philippines,01-6-2019,1,PHL
Philippines,01-7-2019,0,PHL
Philippines,01-8-2019,1,PHL
Philippines,01-9-2019,0,PHL
Philippines,01-10-2019,0,PHL
Philippines,01-11-2019,1,PHL
Philippines,01-12-2019,0,PHL
Poland,01-1-2019,10,POL
Poland,01-2-2019,5,POL
Poland,01-3-2019,7,POL
Poland,01-4-2019,4,POL
Poland,01-5-2019,8,POL
Poland,01-6-2019,15,POL
Poland,01-7-2019,7,POL
Poland,01-8-2019,3,POL
Poland,01-9-2019,8,POL
Poland,01-10-2019,2,POL
Poland,01-11-2019,6,POL
Poland,01-12-2019,9,POL
Puerto Rico,01-1-2019,1,PRI
Puerto Rico,01-2-2019,1,PRI
Puerto Rico,01-3-2019,0,PRI
Puerto Rico,01-4-2019,4,PRI
Puerto Rico,01-5-2019,1,PRI
Puerto Rico,01-6-2019,0,PRI
Puerto Rico,01-7-2019,1,PRI
Puerto Rico,01-8-2019,2,PRI
Puerto Rico,01-9-2019,3,PRI
Puerto Rico,01-10-2019,3,PRI
Puerto Rico,01-11-2019,2,PRI
Puerto Rico,01-12-2019,0,PRI
Portugal,01-1-2019,3,PRT
Portugal,01-2-2019,0,PRT
Portugal,01-3-2019,3,PRT
Portugal,01-4-2019,4,PRT
